batter_name,age,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,GB,SO,GDP,BU,fly,year
백용환,24.0,26.0,58.0,52.0,4.0,9.0,4.0,0.0,0.0,13.0,3.0,0.0,0.0,6.0,0.0,0.0,16.0,3.0,0.0,0.0,2013
백용환,25.0,47.0,86.0,79.0,8.0,14.0,2.0,0.0,4.0,28.0,10.0,0.0,0.0,5.0,0.0,0.0,28.0,1.0,2.0,0.0,2014
백용환,26.0,65.0,177.0,154.0,22.0,36.0,6.0,0.0,10.0,72.0,30.0,3.0,1.0,19.0,1.0,0.0,47.0,5.0,0.0,3.0,2015
백용환,27.0,80.0,199.0,174.0,12.0,34.0,7.0,0.0,4.0,53.0,15.0,2.0,1.0,19.0,1.0,1.0,52.0,6.0,3.0,2.0,2016
백용환,28.0,15.0,20.0,17.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,2017
백용환,29.0,34.0,57.0,47.0,7.0,13.0,1.0,0.0,0.0,14.0,4.0,0.0,1.0,9.0,0.0,0.0,15.0,3.0,1.0,0.0,2018
백용환,30.0,28.0,51.0,47.0,3.0,11.0,2.0,0.0,2.0,19.0,6.0,0.0,0.0,3.0,1.0,0.0,14.0,0.0,0.0,0.0,2019
신범수,20.0,19.0,26.0,25.0,0.0,4.0,2.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,2018
신범수,21.0,39.0,65.0,57.0,4.0,12.0,5.0,0.0,2.0,23.0,7.0,0.0,0.0,7.0,1.0,0.0,14.0,1.0,0.0,0.0,2019
김민식,26.0,23.0,26.0,24.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2015
김민식,27.0,88.0,170.0,144.0,17.0,37.0,9.0,0.0,2.0,52.0,14.0,1.0,1.0,21.0,2.0,0.0,38.0,2.0,3.0,0.0,2016
